Complaint,Link,Date of Complaint
University of Arkansas,https://equalprotect.org/case/equal-protection-project-v-university-of-arkansas/,"September 23, 2024"
Minnesota Office of Higher Education,https://equalprotect.org/case/equal-protection-project-v-minnesota-office-of-higher-education/,"September 9, 2024"
"University of California, Berkeley Haas School of Business",https://equalprotect.org/case/equal-protection-project-v-university-of-california-berkeley-haas-school-of-business/,"September 3, 2024"
University of Illinois Urbana-Champaign (UIUC),https://equalprotect.org/case/equal-protection-project-v-university-of-illinois-urbana-champaign-uiuc/,"August 19, 2024"
Ithaca City School District,https://equalprotect.org/case/equal-protection-project-v-ithaca-city-school-district/,"August 12, 2024"
Fordham University,https://equalprotect.org/case/equal-protection-project-v-fordham-university/,"August 4, 2024"
Mitchell Hamline School of Law,https://equalprotect.org/case/equal-protection-project-v-mitchell-hamline-school-of-law/,"July 29, 2024"
Jefferson State Community College (Alabama),https://equalprotect.org/case/equal-protection-project-v-jefferson-state-community-college-alabama/,"July 25, 2024"
Roosevelt University (Illinois),https://equalprotect.org/case/equal-protection-project-v-roosevelt-university-illinois/,"July 23, 2024"
Indiana University,https://equalprotect.org/case/equal-protection-project-v-indiana-university/,"July 15, 2024"
Rochester Institute of Technology,https://equalprotect.org/case/equal-protection-project-v-rochester-institute-of-technology/,"July 10, 2024"
Ithaca College,https://equalprotect.org/case/equal-protection-project-v-ithaca-college/,"June 24, 2024"
Indiana University Columbus,https://equalprotect.org/case/equal-protection-project-v-indiana-university-columbus/,"June 24, 2024"
"Minnesota State University Moorhead (Five Scholarships that Restrict Eligibility to Students Based on Race, Color and National Origin Challenged)",https://equalprotect.org/case/race-based-scholarships-at-minnesota-state-university-moorhead-challenged-by-equal-protection-project/,"June 11, 2024"
Massachusetts Institute of Technology (Undergraduate Mentorship Program Open Only to Women of Color Challenged),https://equalprotect.org/case/massachusetts-institute-of-technology-mit-undergraduate-program-open-only-to-women-of-color/,"May 20, 2024"
Northwestern University (Post-Encampment Program Providing Benefits Only to Palestinian Students Challenged),https://equalprotect.org/case/northwestern-university-deal-to-end-pro-hamas-encampment-discriminates-in-favor-of-palestinian-and-mena-muslim-mena-middle-east-north-africa-students/,"May 1, 2024"
Illinois Mathematics and Science Academy (Summer Enrichment Program Preferentially Admitting Students of Color Challenged),https://equalprotect.org/case/illinois-mathematics-and-science-academys-racially-discriminatory-promise-summer-enrichment-in-academics-in-mathematics-and-science-program-challenged/,"April 17, 2024"
North Central University – Minnesota (George Floyd Memorial Scholarship Open Only to Black Students Challenged),https://equalprotect.org/case/north-central-university-in-minnesota-george-floyd-four-year-scholarship-open-only-to-back-students/,"March 25, 2024"
"Western Illinois University (Sixteen Scholarships that Restrict Eligibility to Students Who Are “African American,” “Black Women,” “Latino,” or Students who Identify as “LGBTQI+,” or Give Preference to Such Students, Challenged)",https://equalprotect.org/case/sixteen-discriminatory-scholarships-at-western-illinois-u-challenged/,"February 26, 2024"
Southern Illinois University Medical School (Scholarship Not Open to White and Asian (non-Pacific Islander) Students Unless They Identify as LBGTQI+ Challenged),https://equalprotect.org/case/southern-illinois-u-med-school-scholarship-discriminating-against-non-lgbtqi-white-and-asian-students/,"January 30, 2024"
University of Wisconsin-Madison (Undergraduate Program Open Only to “BIPOC” Students Challenged),https://equalprotect.org/case/u-wisconsin-madison-scholarship-program-open-only-to-bipoc-students/,"January 22, 2024"
Betty A. Rosa (New York State Racially Discriminatory Statute Challenged),https://equalprotect.org/case/yiatin-chu-cacagny-inclusive-advocacy-group-and-higher-with-our-parent-engagement-v-betty-a-rosa/,"January 17, 2024"
University of Colorado – Boulder,https://equalprotect.org/case/equal-protection-project-v-university-of-colorado-boulder/,"November 27, 2023"
